epoch,phase,node0_memfree_kb,global_memavailable_kb,top_py_pid,top_py_vmrss_kb
1785937362,t2b348,13818688,755578560,0,0
1785937366,t2b348,13803904,755437312,0,0
1785937370,t2b348,12981824,754624896,0,0
1785937374,t2b348,12699136,754355456,0,0
1785937377,t2b348,12495424,754182720,0,0
1785937381,t2b348,12285120,753944320,0,0
1785937385,t2b348,14516736,757720768,0,0
1785937388,t2b348,14067776,756926400,0,0
1785937392,t2b348,14012416,756624384,0,0
1785937396,t2b348,14033408,756295680,0,0
1785937399,t2b348,13930176,755976832,0,0
1785937403,t2b348,14019712,755810752,0,0
1785937406,t2b348,13890624,755365888,0,0
1785937410,t2b348,13941952,755148096,0,0
1785937414,t2b348,14055744,755041216,0,0
1785937417,t2b348,13993152,754932672,0,0
1785937421,t2b348,13985344,754885696,0,0
1785937424,t2b348,13934912,754856448,0,0
1785937428,t2b348,13894976,754746752,0,0
1785937432,t2b348,13988352,754840320,0,0
1785937435,t2b348,13927808,754703552,0,0
1785937439,t2b348,13957440,754700608,0,0
1785937442,t2b348,13938240,754482176,0,0
1785937446,t2b348,13946368,754433856,0,0
1785937450,t2b348,14054400,754453888,0,0
1785937453,t2b348,13972928,754287296,0,0
1785937457,t2b348,13855680,754181888,0,0
1785937461,t2b348,13899136,754198528,0,0
1785937464,t2b348,13845120,754219712,0,0
1785937468,t2b348,13804352,754119424,0,0
1785937471,t2b348,13915328,754227456,0,0
1785937475,t2b348,13787456,754198528,0,0
1785937479,t2b348,13718080,754062336,0,0
1785937482,t2b348,13707648,753967104,0,0
1785937486,t2b348,13776896,754058048,0,0
1785937489,t2b348,13754816,754020416,0,0
1785937493,t2b348,13748608,754094208,0,0
1785937497,t2b348,13793024,754218176,0,0
1785937500,t2b348,13817344,754261696,0,0
1785937504,t2b348,13824192,754151872,0,0
1785937507,t2b348,13789824,754050944,0,0
1785937511,t2b348,13818880,754096512,0,0
1785937515,t2b348,13915392,754066048,0,0
1785937518,t2b348,13946688,754101504,0,0
1785937522,t2b348,13917440,753930624,0,0
1785937525,t2b348,13976064,753937536,0,0
1785937529,t2b348,13850816,753817408,0,0
1785937533,t2b348,13810048,753741568,0,0
1785937536,t2b348,13697472,753687424,0,0
1785937540,t2b348,13612992,753729728,0,0
1785937544,t2b348,13662848,753667456,0,0
1785937547,t2b348,13635456,753657664,0,0
1785937551,t2b348,13757184,753787968,0,0
1785937554,t2b348,13682368,753703872,0,0
1785937558,t2b348,13627520,753716800,0,0
1785937562,t2b348,13666048,753723712,0,0
1785937565,t2b348,13664896,753782592,0,0
1785937569,t2b348,13713152,753921984,0,0
1785937572,t2b348,13659648,754002624,0,0
1785937576,t2b348,13695936,754105024,0,0
1785937580,t2b348,13744128,754182848,0,0
1785937583,t2b348,13760320,754161280,0,0
1785937587,t2b348,13630144,754006016,0,0
1785937590,t2b348,13641728,753952128,0,0
1785937594,t2b348,13803776,753960192,0,0
1785937598,t2b348,13707584,753939456,0,0
1785937601,t2b348,13783936,754083776,0,0
1785937605,t2b348,13819520,754027008,0,0
1785937609,t2b348,13778624,754082688,0,0
1785937612,t2b348,13917376,754215424,0,0
1785937616,t2b348,13923072,754179712,0,0
1785937619,t2b348,13930112,754145792,0,0
1785937623,t2b348,13834432,754189120,0,0
1785937627,t2b348,13883456,754181568,0,0
1785937630,t2b348,13906112,754053824,0,0
1785937634,t2b348,13801408,753912640,0,0
1785937637,t2b348,13858240,754124096,0,0
1785937641,t2b348,13899392,754176192,0,0
1785937645,t2b348,13889152,754198848,0,0
1785937648,t2b348,13899712,754239232,0,0
1785937652,t2b348,13938432,754278656,0,0
1785937655,t2b348,13952320,754277440,0,0
1785937659,t2b348,13962240,754381568,0,0
1785937663,t2b348,13898816,754244288,0,0
1785937666,t2b348,13823936,754286336,0,0
1785937670,t2b348,13776896,754178752,0,0
1785937674,t2b348,13891968,754241152,0,0
1785937677,t2b348,14000704,754441728,0,0
1785937681,t2b348,13969728,754295488,0,0
1785937684,t2b348,14013504,754344256,0,0
1785937688,t2b348,14073472,754535104,0,0
1785937692,t2b348,14066816,754480064,0,0
1785937695,t2b348,14117312,754476416,0,0
1785937699,t2b348,14075968,754342784,0,0
