epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785944285,f2t3_368000,294855104,1294645120,642074624
1785944287,f2t3_368000,275409088,1275222144,661041152
1785944289,f2t3_368000,269802240,1265315712,669149760
1785944291,f2t3_368000,269197824,1259404672,670053376
1785944293,f2t3_368000,268027648,1245037952,670256128
1785944295,f2t3_368000,266859520,1231403648,670348288
1785944297,f2t3_368000,266344640,1230891008,670348288
1785944299,f2t3_368000,259256576,1210352320,676688896
1785944301,f2t3_368000,254170944,1160567232,681112576
1785944303,f2t3_368000,249696768,1156088128,685315072
1785944305,f2t3_368000,244866368,1146882048,689720320
1785944307,f2t3_368000,238031104,1140013824,696816640
1785944309,f2t3_368000,233067520,1135052160,701314048
1785944311,f2t3_368000,226504064,1128496000,706954240
1785944313,f2t3_368000,222177216,1124177088,711138304
